,Name,Spacegroup,Volume,Band_gap
165,Sn,Im-3m,26.498,0
166,GeC,F-43m,24.072,1.772
167,HoSb,Fm-3m,58.656,0
168,ZnO,Pm-3m,18.829,0
169,ScC,Pm-3m,23.789,0
170,ScCu,Pm-3m,33.848,0
171,ErRh,Pm-3m,38.833,0
172,HoHg,Pm-3m,50.038,0
173,YC,Pm-3m,29.851,0
174,Ne,Fm-3m,10.267,14.099
175,Ne,Fm-3m,10.186,14.132
176,Se,R-3m,22.329,0
177,Ho,Fm-3m,30.638,0
178,SnP,Fm-3m,43.579,0
179,HoTe,Fm-3m,57.270,0
180,HgSe,F-43m,60.143,0.176
181,CuO,Fm-3m,18.286,0
182,LaCd,Pm-3m,59.906,0
183,CuN,F-43m,21.552,0
184,H,Fm-3m,2.729,0
185,HgS,F-43m,53.718,0.179
186,SnC,F-43m,32.794,0.950
187,ScP,Fm-3m,37.473,0
188,CdPd,P4/mmm,34.530,0
189,AgCl,Fm-3m,43.640,1.115
190,Sb,R-3m,63.356,0
191,DyAl,Pm-3m,46.580,0
192,PbS,Pm-3m,48.577,0
193,HgPd,P4/mmm,35.957,0
194,NdCd,Pm-3m,56.430,0
195,GdAs,Fm-3m,50.736,0
196,SnC,Fm-3m,27.406,0
197,ZnTe,F-43m,57.783,1.453
198,NiC,Fm-3m,16.961,0
199,HfPt,Pm-3m,36.555,0
200,TbAs,Fm-3m,49.927,0
201,Ga,Cmcm,36.949,0
202,TbTe,Fm-3m,58.839,0
203,HgPt,P4/mmm,35.800,0
204,ZrHg,P4/mmm,42.581,0
205,TiO,Fm-3m,19.214,0
206,PrTe,Pm-3m,59.239,0
207,GdSb,Fm-3m,60.995,0
208,TcB,Fm-3m,21.284,0
209,NiHg,P4/mmm,31.250,0
210,NbS,P-6m2,31.465,0
211,PrSb,Fm-3m,66.831,0
212,NiN,F-43m,19.933,0
213,MnSe,Fm-3m,38.716,0
214,GdAu,Pm-3m,47.321,0
215,TbMg,Pm-3m,54.639,0
216,TmTl,Pm-3m,52.137,0
217,CaHg,Pm-3m,54.064,0
218,LaHg,Pm-3m,58.459,0
219,Ne,Fm-3m,10.240,14.108
220,Ne,Fm-3m,10.154,14.146
221,Ne,Fm-3m,10.018,14.198
222,DySb,Fm-3m,59.378,0
223,MnSe,F-43m,51.094,0
224,LiHg,Pm-3m,36.171,0
225,MgTl,Pm-3m,48.411,0
226,YTl,Pm-3m,53.731,0
227,SnP,I4mm,45.475,0
228,Li,R-3m,16.786,0
229,I,Fmmm,41.448,0
230,Ne,Fm-3m,10.294,14.087
231,Ne,Fm-3m,10.047,14.187
232,DyAs,Fm-3m,49.131,0
233,TmMg,Pm-3m,52.669,0
234,SrS,Fm-3m,55.235,2.587
235,SrSe,Fm-3m,62.026,2.414
236,CaS,Fm-3m,46.290,2.400
237,He,Fm-3m,9.909,18.390
238,TePb,Pm-3m,62.598,0
239,PrCd,Pm-3m,57.341,0
240,CdPt,P4/mmm,34.723,0
241,MgS,Fm-3m,35.356,2.950
242,CrN,Fm-3m,17.518,0
243,PbSe,Pm-3m,53.010,0
244,VO,Fm-3m,21.623,1.191
245,YC,Fm-3m,32.890,0
246,CdPt,P4/mmm,34.721,0
247,LuHg,Pm-3m,47.540,0
248,YbTl,Pm-3m,56.006,0
249,CaIn,Pm-3m,56.431,0
250,MgHg,Pm-3m,41.616,0
251,YMg,Pm-3m,54.494,0
252,BeO,F-43m,13.701,7.021
253,AlIr,Pm-3m,27.531,0
254,HoAu,Pm-3m,45.311,0
255,TmZn,Pm-3m,43.366,0
256,Kr,P63/mmc,86.157,7.392
257,Ne,Fm-3m,10.003,14.204
258,Ne,Fm-3m,10.232,14.112
259,Pa,I4/mmm,24.780,0
260,TbSe,Fm-3m,48.173,0
261,SrMg,Pm-3m,72.865,0
262,DyTe,Fm-3m,58.018,0
263,ErAs,Fm-3m,47.826,0
264,ScCd,Pm-3m,43.406,0
265,GaNi,Pm-3m,24.617,0
266,HBr,Fm-3m,28.428,0
267,ZrPd,Pm-3m,37.665,0
268,CaPb,P4/mmm,58.927,0
269,MnHg,Pm-3m,36.393,0
270,NbN,Fm-3m,21.802,0
271,Ne,Fm-3m,10.322,13.838
272,Ne,Fm-3m,10.292,14.089
273,Ne,Fm-3m,10.277,14.094
274,Ne,Fm-3m,10.244,14.110
275,La,Fm-3m,36.557,0
276,GeC,Fm-3m,20.935,0
277,TaN,Fm-3m,21.399,0
278,TmP,Fm-3m,43.437,0
279,TbP,Fm-3m,46.146,0
280,InHg,R-3m,50.648,0
281,HgTe,Fm-3m,57.357,0
282,FePt,P4/mmm,27.863,0
283,MnHg,P4/mmm,36.451,0
284,SmCd,Pm-3m,54.588,0
285,WC,P-6m2,21.113,0
286,CsCl,Pm-3m,71.862,5.181
287,Sr,P4/mmm,55.338,0
288,I,I4/mmm,40.734,0
289,Y,P63/mmc,64.622,0
290,TbS,Fm-3m,42.667,0
291,ZnS,F-43m,39.915,2.319
292,ErSb,Fm-3m,58.018,0
293,TmAs,Fm-3m,47.239,0
294,MgAg,Pm-3m,35.784,0
295,ZrC,Pm-3m,25.216,0
296,ErTl,Pm-3m,52.455,0
297,ZrN,Pm-3m,22.996,0
298,AuC,P-6m2,26.619,0
299,TmCd,Pm-3m,49.714,0
300,TbAl,Pm-3m,47.202,0
301,CaTl,Pm-3m,57.806,0
302,CsBr,Pm-3m,81.488,4.487
303,ZrP,Fm-3m,37.246,0
304,Sc,P63/mmc,47.952,0
305,BaSe,Fm-3m,73.944,2.106
306,HCl,Fm-3m,22.795,0
307,MgS,F-43m,45.802,3.570
308,NdHg,Pm-3m,55.416,0
309,TlSn,P4/mmm,57.405,0
310,YbPb,P4/mmm,57.396,0
311,YCd,Pm-3m,52.000,0
312,ErZn,Pm-3m,44.067,0
313,YbCd,Pm-3m,54.028,0
314,MnAl,P4/mmm,26.347,0
315,MoN,Pm-3m,19.601,0
316,MgO,Fm-3m,18.510,4.975
317,MnO,Fm-3m,22.198,0.423
318,NiO,Fm-3m,18.102,2.620
319,HoP,Fm-3m,44.754,0
320,ZnO,F-43m,23.978,0.967
321,ZnTe,Fm-3m,47.866,0
322,AgO,F-43m,31.199,0
323,NiO,C2/m,18.225,2.610
324,MnNi,P4/mmm,24.034,0
325,ReC,P-6m2,20.274,0
326,MgTe,F-43m,68.754,2.458
327,MnPd,P4/mmm,30.063,0
328,YbSn,P4/mmm,53.926,0
329,PrHg,Pm-3m,56.545,0
330,NdAl,Pm-3m,51.736,0
331,SrHg,Pm-3m,62.503,0
332,MnRh,Pm-3m,27.814,0
333,Mg,P63/mmc,45.699,0
334,FeO,Fm-3m,19.605,0
335,GdBi,Fm-3m,64.003,0
336,HoS,Fm-3m,41.275,0
337,ZrS,Fm-3m,36.021,0
338,HgTe,F-43m,71.763,0.161
339,PdN,F-43m,26.220,0
340,SmTl,P4/mmm,56.272,0
341,TlBr,Fm-3m,73.253,2.199
342,AlBi,F-43m,65.915,0.342
343,IrC,P-6m2,21.481,0
344,TbCu,Pm-3m,41.766,0
345,TbHg,Pm-3m,51.346,0
346,ScPd,Pm-3m,35.949,0
347,DyCd,Pm-3m,51.735,0
348,BP,F-43m,23.413,1.367
349,AlP,F-43m,41.608,1.751
350,Ne,Fm-3m,10.310,13.842
351,TmSb,Fm-3m,57.475,0
352,PdN,Pm-3m,21.115,0
353,PtC,P-6m2,22.735,0
354,ErTl,P4/mmm,52.038,0
355,AlRu,Pm-3m,27.242,0
356,NiPt,P4/mmm,26.707,0
357,Zn,P63/mmc,29.957,0
358,TiHg,P4/mmm,37.192,0
359,ErCd,Pm-3m,50.452,0
360,ErTe,Fm-3m,56.685,0
361,RbI,Pm-3m,89.197,3.455
362,TiAl,P4/mmm,32.249,0
363,ScS,Fm-3m,35.350,0
364,TlCl,Pm-3m,58.000,2.323
365,ZnO,Fm-3m,19.764,1.084
366,LiCl,Fm-3m,32.817,6.781
367,InAs,F-43m,58.002,0.366
368,LiBr,Fm-3m,40.455,5.432
369,LiI,Fm-3m,52.647,4.530
370,TbBi,Fm-3m,63.196,0
371,MnNi,Pm-3m,23.934,0
372,CaPd,Pm-3m,43.466,0
373,ErTe,Fm-3m,56.685,0
374,TbCu,P4/mmm,42.250,0
375,MnPt,P4/mmm,29.968,0
376,CeCd,Pm-3m,58.704,0
377,YN,Fm-3m,29.331,0.417
378,TmCu,Pm-3m,39.867,0
379,TmHg,Pm-3m,48.761,0
380,AlNi,Pm-3m,24.055,0
381,MnV,Pm-3m,23.322,0
382,YbHg,Pm-3m,51.578,0
383,HfC,Fm-3m,25.047,0
384,VC,Fm-3m,17.870,0
385,ScN,Fm-3m,22.636,0
386,CrTe,F-43m,60.216,0
387,KI,Pm-3m,81.617,3.367
388,KBr,Pm-3m,65.763,3.948
389,MnRh,P4/mmm,27.305,0
390,AlO,Fm-3m,21.819,0
391,NiO,R-3m,18.234,2.611
392,MgAu,Pm-3m,35.371,0
393,ZrN,Fm-3m,24.316,0
394,LiF,Fm-3m,15.553,9.633
395,TaC,Fm-3m,22.434,0
396,CaO,Fm-3m,27.270,3.687
397,PbSe,Fm-3m,58.967,0.686
398,GeTe,R3m,54.834,0.753
399,Ne,Fm-3m,10.267,14.098
400,Ne,Fm-3m,10.253,14.103
401,YP,Fm-3m,45.587,0
402,PdO,P4/mmm,21.801,0
403,HfC,P-6m2,26.329,0
404,RuC,P-6m2,19.915,0
405,CsF,Pm-3m,43.949,6.315
406,CrH,Fm-3m,13.348,0
407,ScSi,F-43m,59.122,0
408,ScHg,Pm-3m,42.868,0
409,SrO,Pm-3m,29.812,2.792
410,ErIn,Pm-3m,51.697,0
411,TiPd,P4/mmm,30.928,0
412,ZrCu,Pm-3m,34.836,0
413,SrS,Pm-3m,49.009,1.874
414,SiRu,Pm-3m,25.444,0
415,SrO,Fm-3m,33.901,3.363
416,TePb,Fm-3m,69.501,0.966
417,PaO,Fm-3m,30.318,0
418,BaO,Fm-3m,42.605,2.111
419,Th,Fm-3m,31.875,0
420,LuBi,Fm-3m,59.677,0
421,NpP,Fm-3m,43.774,0
422,ThN,Fm-3m,34.286,0
423,ThS,Fm-3m,46.594,0
424,ThBi,Pm-3m,61.174,0
425,NdTe,Fm-3m,64.220,0
